timestamp,user,model,useQuota,limitMonthlyQuota,exceedsMonthlyQuota
2024-12-01T09:15:23Z,tanaka.taro,gpt-4,125,500,false
2024-12-01T10:30:45Z,yamada.hanako,gpt-4,89,500,false
2024-12-01T14:22:10Z,sato.ichiro,gpt-3.5-turbo,234,300,false
2024-12-02T08:45:30Z,tanaka.taro,gpt-4,130,500,false
2024-12-02T11:12:55Z,suzuki.jiro,gpt-4,456,500,false
2024-12-02T13:25:18Z,yamada.hanako,gpt-4,95,500,false
2024-12-03T09:00:00Z,ito.saburo,gpt-3.5-turbo,289,300,false
2024-12-03T10:30:22Z,watanabe.yuki,gpt-4,178,500,false
2024-12-03T15:45:33Z,tanaka.taro,gpt-4,142,500,false
2024-12-04T08:20:15Z,takahashi.mei,gpt-4,512,500,true
2024-12-04T09:55:40Z,kobayashi.ken,gpt-3.5-turbo,298,300,false
2024-12-04T14:10:25Z,yamada.hanako,gpt-4,108,500,false
2024-12-05T10:00:00Z,nakamura.rin,gpt-4,67,500,false
2024-12-05T11:30:45Z,tanaka.taro,gpt-4,155,500,false
2024-12-05T13:45:20Z,sato.ichiro,gpt-3.5-turbo,301,300,true
2024-12-06T08:15:30Z,kimura.yui,gpt-4,223,500,false
2024-12-06T10:22:18Z,yamamoto.takeshi,gpt-4,389,500,false
2024-12-06T15:30:55Z,suzuki.jiro,gpt-4,478,500,false
2024-12-07T09:45:12Z,mori.akiko,gpt-3.5-turbo,156,300,false
2024-12-07T11:20:33Z,tanaka.taro,gpt-4,168,500,false
2024-12-07T14:55:40Z,yoshida.naoki,gpt-4,234,500,false
2024-12-08T08:30:25Z,yamada.hanako,gpt-4,122,500,false
2024-12-08T10:15:50Z,ishida.mari,gpt-4,345,500,false
2024-12-08T13:40:15Z,watanabe.yuki,gpt-4,198,500,false
2024-12-09T09:00:00Z,okada.hiroshi,gpt-3.5-turbo,267,300,false
2024-12-09T11:25:30Z,tanaka.taro,gpt-4,182,500,false
2024-12-09T14:50:45Z,hasegawa.kaori,gpt-4,423,500,false
2024-12-10T08:35:20Z,suzuki.jiro,gpt-4,495,500,false
2024-12-10T10:45:55Z,yamada.hanako,gpt-4,135,500,false
2024-12-10T15:20:10Z,fujita.daisuke,gpt-3.5-turbo,189,300,false